customer_id,content
1001,Welcome to our service! We hope you enjoy using it.
1002,Your subscription is about to expire. Please renew to continue enjoying our services.
1003,Thank you for your purchase! Your order will be shipped soon.
1004,We have successfully processed your refund. It will be reflected in your account shortly.
1001,Don't forget to check out our new features! Log in to see what's new.
1002,Your payment has been received. Thank you for your prompt payment.
1005,Special offer just for you! Get 20% off on your next purchase.
1003,We have updated our terms of service. Please review them at your earliest convenience.
1006,Your account has been successfully updated with your new address.
1004,We value your feedback. Please take a moment to complete our survey.
